id,perturbation_spread,flip_rate,text_length,n_valid,mean_cosine,mean_jaccard_dist
A01103,0.0017833009060593626,0.0,740,5,0.9413462519645691,0.7578280974254202
A01104,0.0141063363902786,0.0,2217,5,0.9000399112701416,0.712872369399461
A01105,0.2831959358224557,1.0,2504,5,0.9117215514183045,0.6432152826026011
A01106,0.019815033966595764,0.0,1173,5,0.9622712969779968,0.6467593474643752
A01107,0.006112707200499811,0.0,1578,5,0.8963756561279297,0.6752203464053677
A01108,nan,nan,740,0,nan,nan
A01109,0.049524137356135645,0.0,504,5,0.880696713924408,0.8053574565802624
A01110,0.3172811541048017,1.0,1442,5,0.9518001079559326,0.684017476369126
A01111,0.011766505694662107,0.0,1356,5,0.9613848209381104,0.6156889640340063
A01112,0.09814579426556849,0.0,2095,5,0.9249588251113892,0.6615990180767849
A01113,0.43500788520163236,0.5,1491,4,0.8966394364833832,0.7414958112874779
A01114,0.3564141757145201,0.2,2215,5,0.9132656335830689,0.5948836440575678
A01115,0.3447978580607788,0.4,803,5,0.8590632915496826,0.6239729461375523
A01116,0.011096793129159602,0.0,2271,5,0.9329004526138306,0.7417116335121389
A01117,0.36426770230466443,0.2,1138,5,0.9262415170669556,0.7284618689581095
A01118,0.02753081907910921,0.0,1956,5,0.9300450086593628,0.6271163413577513
A01119,0.4145353426123609,0.8,2338,5,0.9352875828742981,0.6464447648252805
A01120,0.12328308513794319,0.0,2236,5,0.9593354344367981,0.644489588403804
A01121,0.1601232188025554,0.0,794,4,0.8263039141893387,0.6612288190804853
A01122,nan,nan,1255,0,nan,nan
A01123,0.0005689097436062274,0.0,1388,5,0.8712629795074462,0.6934882200052053
A01124,0.5017289504128504,0.4,1178,5,0.8982068300247192,0.8218896143568394
A01125,0.025924089311978208,0.0,1874,5,0.8862104892730713,0.7616506586151363
A01126,nan,nan,1609,0,nan,nan
A01127,0.0937032890783171,0.0,1027,5,0.9013409972190857,0.7244306389891436
A01128,0.3397582662352352,0.4,1991,5,0.868675708770752,0.6965368562940337
A01129,0.006452672827071706,0.0,1054,5,0.9092575311660767,0.7263142888958297
A01130,0.01192004331487227,0.0,975,4,0.8503846973180771,0.7314401799481645
A01131,0.07590343914933334,0.0,917,5,0.9471924781799317,0.7634798664445513
A01132,0.0010266550828768677,0.0,1405,1,0.9781725406646729,0.35025380710659904
A01133,0.003357001491396039,0.0,908,5,0.9876825690269471,0.40894453230314803
A01134,0.0010739360746623366,0.0,660,5,0.9512011289596558,0.33621127862806033
A01135,0.044074749415768104,0.0,907,5,0.9557438611984252,0.4239419842461559
A01136,0.4888056582182815,0.8,1137,5,0.9434684038162231,0.4604910274222182
A01137,0.02140210194077619,0.0,1303,4,0.9656190574169159,0.4022437738440002
A01138,0.008694498501384297,0.0,1080,4,0.9602109640836716,0.36757437098833295
A01139,0.332950975171262,1.0,1120,2,0.9389705061912537,0.3180687328694919
A01140,0.0003846138999207266,0.0,978,5,0.9651337146759034,0.5410487961814431
